2894,2916,6300,9797,2
9778,5596,5492,2653,8
7327,2063,3085,4329,1
1913,5429,8127,1809,9
4788,4030,5885,6115,6
5531,3494,9127,3171,5
4927,4753,2945,5177,3
1189,4751,6416,9716,6
9059,6033,2084,6709,9
4357,3470,1715,2009,0
3393,1187,9281,2960,8
3905,2951,3980,3722,8
1220,5759,9910,2972,8
7101,5792,5910,7379,0
7812,2787,2152,4684,3
3341,3303,9989,1535,9
1319,6095,4620,7117,5
2382,7007,2586,5919,0
3449,8228,6086,4237,0
7964,6974,4711,8406,5
1235,6875,2561,5950,5
8151,4105,1077,4383,3
8274,8000,6374,7332,0
4948,9587,3372,3614,8
2318,8698,3451,6457,8
4707,6944,8945,1937,3
7822,6662,9489,8504,0
5498,1031,6194,5486,2
6428,9263,4910,6225,7
3509,2940,8699,3624,2
3402,4088,6456,8377,4
8594,9047,4488,8926,6
1885,5345,9920,3697,2
8067,8648,4277,9442,6
7272,8114,2961,3954,1
3993,4338,8291,8332,0
4465,4385,8463,2116,0
8900,9251,2303,1875,7
7087,1100,9972,6777,2
1511,3745,6626,2045,7
5894,3341,3962,4270,1
3591,7116,9409,2288,8
7956,7885,4691,3758,8
6857,6191,6184,2236,9
3969,4401,3600,9602,2
9063,5862,3825,9876,0
2087,7057,8805,3610,9
4958,2280,6032,3971,6
2749,2258,5941,9056,2
5010,1239,1487,5652,7
7068,7506,9253,1961,7
9068,9499,4963,3520,4
1093,8956,2013,8302,6
4274,1347,4031,1596,7
1649,7649,8649,2372,6
7403,8386,3447,8913,6
3705,3987,9738,4344,9
2480,2833,1757,4948,8
5944,9854,7557,3945,7
5381,7577,9111,4510,5
6868,1115,9273,2771,9
7271,6530,6412,8571,9
7882,7935,7324,6313,0
9344,7149,9242,9243,5
7635,3022,5935,4337,0
5542,1675,3900,8506,5
7555,9403,1402,9300,5
8680,7757,8747,8532,8
2995,2745,7344,7039,5
1588,1433,3412,6157,0
1412,1297,6839,3154,2
7065,2277,2892,3992,4
4697,5755,1883,5038,1
3911,7188,3060,7537,9
2314,5361,8714,9623,5
5421,9840,7516,6946,7
2635,9699,7409,3698,8
5935,2115,8357,9852,3
4566,6753,5503,6510,6
5772,9003,5452,3739,2
3226,7104,4851,1781,8
3016,1793,5099,1535,7
5436,1354,3556,6575,5
5920,8292,3881,3630,2
4252,5923,6104,9105,9
3096,6046,4717,4192,7
2007,1254,7225,3760,5
6499,7011,5007,1510,2
3015,5273,6554,2430,4
8029,9760,7794,4425,6
5868,6039,3009,5739,0
3458,4500,7310,6391,8
3388,9919,6474,3564,5
3676,5346,7984,4931,4
3257,1930,4992,5379,7
1016,5583,6277,3619,6
5347,1531,2402,8618,9
1245,2489,3762,9666,5
2858,5903,4131,2974,1
4895,3357,2202,2502,7
8437,2488,3065,5779,8
8224,8129,5612,9381,0
8392,8340,1514,9943,7
3642,8806,3816,4011,0
4704,3260,5944,9345,6
8407,1479,2321,9390,4
8273,9110,9546,3454,7
9921,9116,6369,6687,8
4376,3044,1446,9424,8
8175,9337,1158,9501,0
9004,3897,8639,5519,8
6533,3975,4674,1290,6
2469,6304,9129,7949,1
5436,9209,8969,3960,9
6961,9689,4830,6541,2
3359,5052,6835,1289,4
6858,9655,5871,7135,5
7828,5978,6436,3501,9
8497,5150,5799,2732,1
4132,9223,9199,2420,6
3447,3857,7764,1048,2
6770,3681,8300,2917,9
1667,7250,3874,1496,8
3501,6412,7717,8591,0
3291,8916,4408,7256,3
7219,5350,6419,3902,3
5361,5318,1626,1336,0
3694,6356,5998,9014,0
9450,1185,9321,7761,1
2688,7251,1996,5913,4
2650,6522,2103,7632,8
3041,9124,2501,4615,9
5573,5989,5339,2634,5
3143,1372,3228,2048,0
9124,9294,1648,1636,6
1815,1356,4414,7812,6
5457,7004,9975,5855,9
9813,1057,2930,2387,1
1845,7052,5714,9941,7
4259,3337,8460,3730,6
8321,6326,1758,4272,3
2888,7305,9819,2229,7
6675,5830,1235,4883,2
3932,5671,1022,3347,5
3311,6565,2559,9784,7
4994,1998,3053,3822,7
9984,7624,1576,4121,6
3816,8322,9720,9175,6
8792,6836,7010,9312,6
9753,5648,8130,6731,5
8054,1019,8160,2132,8
9988,8609,9315,6409,7
4776,1198,8842,4410,3
6203,4545,4792,6172,0
6177,7939,2425,7761,5
8120,9496,2214,6068,5
7299,7185,7190,9514,1
8876,3509,9683,1965,7
4547,2557,2518,5532,2
9059,9465,5511,9988,2
1868,5146,2816,9001,6
6082,3840,2711,8092,5
3349,5499,7491,4269,6
6561,2848,2135,7240,3
4609,3887,1850,7338,6
7254,3547,5101,9390,3
6435,6675,9128,8204,5
9310,4996,1276,4606,2
9182,2541,6923,1285,6
6751,7523,5142,4787,6
5375,7152,9625,7194,9
6852,6379,5571,3519,2
