279,271
109,59
474,263
272,2
166,27
464,77
212,72
14,326
102,351
0,226
356,203
453,2
401,277
410,124
156,303
119,311
412,321
175,460
101,218
364,409
464,66
229,250
251,271
204,4
429,418
478,275
473,210
420,25
129,206
8,474
258,460
427,423
204,168
72,327
477,150
363,156
405,172
368,255
152,301
167,170
106,218
10,208
122,307
60,379
26,100
357,0
312,363
178,219
224,2
170,451
278,114
467,0
18,419
351,356
427,169
250,251
467,363
217,76
361,210
170,210
4,302
0,11
455,21
128,426
403,0
102,155
26,23
322,472
125,427
470,362
218,370
204,359
267,102
212,466
253,357
50,122
261,61
51,368
459,272
223,321
353,129
269,304
154,125
464,202
52,302
71,354
311,367
61,16
69,221
455,67
69,371
164,270
207,251
117,379
305,362
212,320
451,310
76,168
319,118
7,164
270,9
60,168
221,120
179,10
255,255
355,6
12,218
471,358
77,168
151,377
253,316
315,401
478,464
419,260
107,366
423,267
475,2
426,69
325,326
9,166
377,154
272,412
462,356
424,10
461,317
474,55
329,176
100,414
67,155
271,225
161,174
302,370
210,114
452,102
372,226
401,378
68,410
306,214
2,309
462,223
311,251
459,72
214,477
200,3
170,412
59,467
324,472
59,200
203,317
116,62
203,412
376,264
463,470
51,426
25,458
317,409
372,78
264,11
13,274
168,479
103,266
453,124
426,378
304,412
168,428
473,5
155,404
166,409
116,179
251,219
403,411
67,477
318,12
119,411
119,28
313,263
407,458
128,476
422,54
207,264
259,467
307,372
203,479
279,321
219,164
373,307
204,109
222,300
324,65
169,116
362,170
171,225
2,313
478,152
462,466
274,14
67,60
213,474
268,475
426,22
16,263
14,271
400,328
265,264
21,422
71,9
29,179
56,365
7,222
54,18
322,327
450,20
451,262
320,222
328,211
329,169
178,129
73,407
76,268
350,59
109,478
54,156
358,219
359,119
162,3
75,421
57,202
21,15
276,318
272,64
410,426
458,420
428,277
426,175
25,66
154,66
352,112
450,259
72,302
375,358
322,422
327,50
175,168
65,120
373,307
74,415
10,162
22,60
314,201
468,306
157,268
16,427
157,60
250,14
261,228
74,321
103,107
412,458
265,376
25,7
113,104
416,317
458,418
401,216
54,323
472,316
475,168
102,328
60,418
104,16
304,459
212,411
250,268
24,272
253,362
71,355
278,414
226,176
218,9
308,322
23,426
114,157
471,322
270,473
259,464
366,356
116,474
315,373
156,56
409,117
328,26
217,226
467,101
178,206
57,120
315,454
462,453
472,173
127,268
401,414
271,122
309,167
176,358
69,302
415,122
373,17
266,157
410,319
469,112
163,265
306,103
171,464
73,119
115,267
313,473
119,473
365,224
178,109
150,424
275,365
250,61
106,252
365,303
415,23
272,400
5,74
151,161
23,66
362,206
5,162
301,53
406,356
326,157
373,159
152,278
415,267
3,160
377,425
109,275
58,105
260,158
472,78
57,172
300,452
472,450
351,414
162,109
105,155
301,327
103,467
19,60
464,157
319,5
153,402
17,77
478,63
174,326
63,53
79,403
260,263
411,56
50,353
361,259
164,416
272,364
206,275
360,53
320,312
64,458
354,9
376,122
153,471
54,78
424,164
257,151
301,73
116,313
206,279
463,278
57,150
402,450
76,112
357,453
357,273
52,366
419,328
470,118
68,474
206,200
317,3
269,401
156,159
479,413
256,367
255,200
159,0
122,122
304,108
414,171
474,104
67,303
251,158
62,258
407,272
270,304
302,226
466,367
60,372
328,63
319,315
128,6
115,350
114,250
278,458
311,318
126,376
326,412
162,18
105,420
266,177
365,156
218,451
176,467
374,257
365,58
26,168
126,456
74,229
465,453
476,406
50,455
273,214
219,415
52,406
250,216
129,15
59,64
351,372
3,317
469,403
454,227
154,211
76,272
4,155
113,277
401,257
202,153
427,371
11,122
24,211
124,56
0,402
406,2
474,379
409,9
378,269
116,367
8,10
25,472
229,6
370,359
318,360
162,268
154,109
57,257
223,322
52,23
104,402
313,205
20,4
320,14
50,72
322,408
251,418
159,28
365,129
102,153
304,328
371,57
264,403
402,317
16,326
364,119
256,158
105,173
66,214
376,50
166,59
209,256
177,166
328,67
223,315
29,427
307,472
376,313
219,27
127,277
28,358
127,74
452,119
216,266
426,311
127,212
374,271
363,429
301,155
311,256
473,308
7,279
6,160
169,350
470,469
28,252
421,200
451,319
60,470
427,352
322,279
222,207
210,120
254,316
106,366
206,352
412,452
259,59
410,414
123,314
275,176
368,310
222,129
14,123
400,170
411,78
102,1
372,156
474,454
378,475
418,113
425,466
151,259
401,125
277,105
262,111
327,150
328,477
314,74
404,176
24,314
272,405
453,321
111,66
12,368
468,67
321,473
5,227
76,62
52,128
8,115
112,276
460,106
128,411
252,301
174,18
410,303
54,318
412,51
275,467
405,368
218,150
115,68
28,365
423,204
5,473
421,115
7,24
71,18
23,113
361,402
427,70
28,361
450,13
21,227
5,355
165,468
216,201
369,217
374,4
272,151
73,222
417,429
311,279
361,127
24,415
202,358
321,264
327,266
210,155
324,61
452,50
276,119
429,78
361,375
417,222
8,51
0,429
65,222
108,324
220,74
369,415
224,308
377,467
322,24
404,59
11,59
154,25
361,318
408,69
308,20
6,319
202,424
66,275
64,301
116,102
126,70
379,152
6,408
227,463
429,111
115,359
370,461
456,200
55,56
229,353
367,67
228,219
100,352
453,109
8,258
104,174
279,8
205,305
152,216
105,121
258,79
318,323
171,119
111,412
475,379
466,307
212,369
226,29
218,210
25,372
121,115
306,402
151,200
225,150
469,362
220,473
125,207
201,354
177,154
218,458
277,125
156,165
5,459
168,51
412,128
374,405
21,122
104,475
165,311
102,167
52,406
402,455
162,301
305,71
214,126
353,463
277,328
111,117
162,458
76,71
305,201
168,374
101,400
229,14
262,101
121,224
62,116
220,158
158,462
364,356
105,167
413,29
159,120
206,58
469,252
326,426
460,129
316,118
1,222
313,118
428,276
421,217
255,154
371,10
104,164
74,22
169,251
306,121
167,201
275,376
223,69
21,22
224,164
421,219
178,350
73,251
127,453
13,212
250,22
223,63
77,322
275,269
469,309
228,119
118,304
312,117
460,24
465,424
165,76
469,164
178,302
313,11
227,265
70,269
368,115
329,256
315,117
58,468
376,150
319,128
369,311
325,21
350,221
12,329
370,71
369,250
275,310
105,453
78,476
229,223
57,204
421,477
420,422
123,100
208,22
409,124
173,377
3,471
155,324
12,457
63,107
159,326
270,61
2,19
309,373
474,256
202,411
305,167
269,360
463,224
0,255
19,351
209,356
29,401
114,105
107,302
221,353
160,121
400,265
171,125
128,0
412,253
411,124
321,403
174,257
370,422
426,467
375,269
401,226
362,470
379,328
166,212
451,410
461,57
316,411
328,228
5,103
101,211
319,14
215,260
409,361
159,279
229,76
110,468
68,58
455,176
153,370
354,178
210,217
126,209
307,258
275,465
351,120
5,356
206,250
479,155
9,357
250,76
261,152
105,325
373,1
428,357
58,54
216,305
352,452
258,453
4,250
357,353
126,18
219,20
201,113
20,473
262,427
59,215
462,178
124,15
59,251
267,404
160,213
50,27
474,220
302,362
8,320
450,20
113,114
12,115
20,109
274,360
171,362
57,26
458,357
175,269
429,406
225,73
277,220
153,420
275,228
255,228
469,265
457,467
421,303
123,210
76,258
477,214
250,7
158,78
113,27
351,421
451,210
261,306
468,476
66,367
429,74
254,368
408,410
207,416
261,8
25,15
319,452
301,111
122,221
474,400
114,23
52,414
257,74
157,12
204,125
356,317
204,418
462,263
219,118
223,63
417,14
361,204
373,116
320,210
205,372
76,24
270,13
359,220
6,251
375,461
62,479
58,461
179,76
323,251
159,13
403,466
213,401
153,315
67,112
410,217
209,78
169,308
320,51
101,64
375,310
460,361
22,476
123,370
418,463
404,377
174,401
229,475
1,172
113,269
161,75
353,8
176,466
265,459
320,176
262,125
66,159
266,414
102,323
73,167
52,163
305,219
223,309
158,379
320,164
12,108
79,2
257,60
156,66
422,174
429,214
308,172
404,353
266,219
167,415
24,472
279,106
118,417
354,28
361,174
351,458
163,179
352,460
73,251
367,261
451,215
218,225
6,54
327,305
208,454
125,61
424,163
366,56
220,421
471,21
314,373
67,222
455,162
414,203
425,300
425,154
223,414
4,69
355,407
210,217
22,372
123,61
151,379
259,265
468,402
464,416
259,253
159,168
400,16
254,74
355,24
369,77
378,379
203,158
374,364
12,212
